id,r,bias,Sepal Width,Petal Length,Petal Width,Species,Class,,bias,x,y,,Truth,Model,,c1,c2,c3,,,,Perceptron Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepal Width,Petal Length,Petal Width,Species
47,0.194354884,1,2.9,4.2,1.3,'versicolor',1,,1,4.5,1.6,,1,-22.97,,22,-0.8,-18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.5,1,'versicolor'
3,0.216804045,1,3.1,4.9,1.5,'versicolor',1,,1,5.5,2.1,,1,-11.84,,23,3.7,-17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.2,1.5,'versicolor'
37,0.222049446,1,3.1,4.7,1.5,'versicolor',1,,1,5.8,1.6,,1,7.02,,22,-1.8,-19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,4,1,'versicolor'
11,0.23573906,1,2,3.5,1,'versicolor',1,,1,5,2,,1,-19.48,,22,-1.8,-19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.7,1.4,'versicolor'
40,0.251194932,1,2.5,4,1.3,'versicolor',1,,1,5.9,2.1,,1,-25.8,,22,-1.8,-19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.6,1.3,'versicolor'
26,0.304824057,1,3,4.4,1.4,'versicolor',1,,1,6.4,2,,1,-29.36,,22,-1.8,-19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4.4,1.4,'versicolor'
31,0.33087326,1,2.4,3.8,1.1,'versicolor',1,,1,3,1.1,,1,-28.32,,22,-1.8,-19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.5,1.5,'versicolor'
46,0.36163723,1,3,4.2,1.2,'versicolor',1,,1,4,1.2,,1,-4.74,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.1,1,'versicolor'
28,0.362685035,1,3,5,1.7,'versicolor',1,,1,4.7,1.4,,1,5.84,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,4.5,1.5,'versicolor'
45,0.37978964,1,2.7,4.2,1.3,'versicolor',1,,1,5.7,2.5,,1,3.02,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.9,1.1,'versicolor'
38,0.401718468,1,2.3,4.4,1.3,'versicolor',1,,1,3.9,1.2,,1,-15.91,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.8,1.8,'versicolor'
19,0.479881157,1,2.2,4.5,1.5,'versicolor',1,,1,4.2,1.3,,1,5.72,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4,1.3,'versicolor'
50,0.484440279,1,2.8,4.1,1.3,'versicolor',1,,1,4.9,1.5,,1,4.25,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,4.9,1.5,'versicolor'
18,0.501033733,1,2.7,4.1,1,'versicolor',1,,1,4.7,1.5,,1,1.43,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4.7,1.2,'versicolor'
17,0.514998337,1,3,4.5,1.5,'versicolor',1,,1,5.1,2.3,,1,1.19,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.3,1.3,'versicolor'
34,0.519305807,1,2.7,5.1,1.6,'versicolor',1,,1,3.5,1,,1,-12.97,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.4,1.4,'versicolor'
15,0.567605057,1,2.9,3.6,1.3,'versicolor',1,,1,6.1,2.3,,1,8.9,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4.8,1.4,'versicolor'
42,0.574766202,1,3,4.6,1.4,'versicolor',1,,1,4.9,1.8,,1,-11.77,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1.7,'versicolor'
30,0.590786356,1,2.6,3.5,1,'versicolor',1,,1,4,1.3,,1,-4.06,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.5,1.5,'versicolor'
29,0.596865647,1,2.9,4.5,1.5,'versicolor',1,,1,5.3,2.3,,1,4.01,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.5,1,'versicolor'
48,0.598643068,1,2.9,4.3,1.3,'versicolor',1,,1,5,1.9,,1,-12.73,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.8,1.1,'versicolor'
39,0.625342863,1,3,4.1,1.3,'versicolor',1,,1,4.4,1.4,,1,-5.77,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.7,1,'versicolor'
27,0.673478998,1,2.8,4.8,1.4,'versicolor',1,,1,4.5,1.7,,1,2.66,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.9,1.2,'versicolor'
10,0.684025172,1,2.7,3.9,1.4,'versicolor',1,,1,6.7,2.2,,1,-2.71,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,5.1,1.6,'versicolor'
13,0.686874573,1,2.2,4,1,'versicolor',1,,1,3.8,1.1,,1,-9.22,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.5,1.5,'versicolor'
7,0.709450569,1,3.3,4.7,1.6,'versicolor',1,,1,5.6,1.8,,1,7.43,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,4.5,1.6,'versicolor'
4,0.749884152,1,2.3,4,1.3,'versicolor',1,,1,4.2,1.2,,1,-3.22,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4.7,1.5,'versicolor'
8,0.809202503,1,2.4,3.3,1,'versicolor',1,,1,5,1.7,,1,6.08,,23,1.2,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,4.4,1.3,'versicolor'
32,0.820809657,1,2.4,3.7,1,'versicolor',1,,1,5.2,2,,1,-2.11,,24,6.2,-16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.1,1.3,'versicolor'
23,0.823849479,1,2.5,4.9,1.5,'versicolor',1,,1,5.1,1.9,,1,23.04,,23,1,-18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,4,1.3,'versicolor'
25,0.865591744,1,2.9,4.3,1.3,'versicolor',1,,1,4.2,1.3,,1,-7.24,,23,1,-18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4.4,1.2,'versicolor'
9,0.890685984,1,2.9,4.6,1.3,'versicolor',1,,1,4.4,1.3,,1,3.02,,23,1,-18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.6,1.4,'versicolor'
6,0.922704559,1,2.8,4.5,1.3,'versicolor',1,,1,5.4,2.1,,1,3.22,,23,1,-18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,4,1.2,'versicolor'
22,0.935564329,1,2.8,4,1.3,'versicolor',1,,1,6,2.5,,1,-10.66,,23,1,-18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.3,1,'versicolor'
21,0.941462281,1,3.2,4.8,1.8,'versicolor',1,,1,5.6,2.4,,1,-17.5,,23,1,-18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.2,1.3,'versicolor'
12,0.955463272,1,3,4.2,1.5,'versicolor',1,,1,4.5,1.5,,1,-16.04,,23,1,-18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.2,1.2,'versicolor'
20,0.969151635,1,2.5,3.9,1.1,'versicolor',1,,1,4.1,1.3,,1,-0.4,,24,5.5,-17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.2,1.3,'versicolor'
2,0.97339713,1,3.2,4.5,1.5,'versicolor',1,,1,4.8,1.8,,1,24.32,,24,5.5,-17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.3,1.3,'versicolor'
35,0.980814831,1,3,4.5,1.5,'versicolor',1,,1,4.1,1,,1,19.62,,23,0.7,-18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3,1.1,'versicolor'
1,0.998316095,1,3.2,4.7,1.4,'versicolor',1,,1,4.8,1.8,,1,6.97,,23,0.7,-18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4.1,1.3,'versicolor'
70,0.019003192,1,2.2,5,1.5,'virginica',-1,,1,4.5,1.5,,-1,-7.66,,23,0.7,-18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,6,2.5,'virginica'
76,0.024594848,1,3.2,6,1.8,'virginica',-1,,1,5.1,1.6,,-1,-2.2,,24,5.2,-17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,5.1,1.9,'virginica'
87,0.034344159,1,3.4,5.6,2.4,'virginica',-1,,1,5.8,2.2,,-1,22.68,,24,5.2,-17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.9,2.1,'virginica'
60,0.05968502,1,3.6,6.1,2.5,'virginica',-1,,1,5.1,1.5,,-1,15.88,,23,-0.6,-19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,5.6,1.8,'virginica'
56,0.072886757,1,3,6.6,2.1,'virginica',-1,,1,6.1,1.9,,-1,-9.46,,23,-0.6,-19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.8,2.2,'virginica'
63,0.085370865,1,3,5.5,2.1,'virginica',-1,,1,3.6,1.3,,-1,-17.9,,23,-0.6,-19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6.6,2.1,'virginica'
80,0.088098567,1,3,5.8,1.6,'virginica',-1,,1,4.6,1.4,,-1,-4.64,,24,3,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,4.5,1.7,'virginica'
64,0.097556901,1,2.5,5,2,'virginica',-1,,1,5.8,1.8,,-1,12.18,,24,3,-18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,6.3,1.8,'virginica'
53,0.104012895,1,3,5.9,2.1,'virginica',-1,,1,3.5,1,,-1,8.46,,23,-2.8,-20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,5.8,1.8,'virginica'
82,0.110484251,1,3.8,6.4,2,'virginica',-1,,1,5.6,2.1,,-1,-6.9,,24,0.7,-19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,6.1,2.5,'virginica'
95,0.148150961,1,3.3,5.7,2.5,'virginica',-1,,1,4.5,1.5,,-1,-12.19,,24,0.7,-19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,5.1,2,'virginica'
92,0.227415973,1,3.1,5.1,2.3,'virginica',-1,,1,4.3,1.3,,-1,-1.5,,25,5.2,-17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,5.3,1.9,'virginica'
86,0.239551807,1,3,6.1,2.3,'virginica',-1,,1,5.4,2.3,,-1,24.48,,25,5.2,-17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.5,2.1,'virginica'
78,0.248380886,1,3,4.9,1.8,'virginica',-1,,1,5.5,1.8,,-1,12.6,,24,-0.2,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,5,2,'virginica'
66,0.262705999,1,3.2,5.3,2.3,'virginica',-1,,1,4.1,1.3,,-1,-12.92,,24,-0.2,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,5.1,2.4,'virginica'
97,0.263258711,1,2.5,5,1.9,'virginica',-1,,1,6.3,1.8,,-1,-2.69,,25,3.9,-18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,5.3,2.3,'virginica'
57,0.3187948,1,2.5,4.5,1.7,'virginica',-1,,1,5.1,1.8,,-1,16.09,,24,-2.4,-20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.5,1.8,'virginica'
68,0.320838043,1,3.8,6.7,2.2,'virginica',-1,,1,4.8,1.4,,-1,-24.96,,24,-2.4,-20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,6.7,2.2,'virginica'
54,0.331058942,1,2.9,5.6,1.8,'virginica',-1,,1,3.9,1.4,,-1,-16.08,,25,2.4,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,6.9,2.3,'virginica'
98,0.372198725,1,3,5.2,2,'virginica',-1,,1,4,1,,-1,7.76,,25,2.4,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,5,1.5,'virginica'
52,0.374309469,1,2.7,5.1,1.9,'virginica',-1,,1,5.1,1.9,,-1,15.6,,25,2.4,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,5.7,2.3,'virginica'
90,0.405807283,1,3.1,5.4,2.1,virginica',-1,,1,6.7,2,,-1,1.14,,24,-2.7,-20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4.9,2,'virginica'
51,0.409455678,1,3.3,6,2.5,'virginica',-1,,1,5.7,2.3,,-1,-35.89,,24,-2.7,-20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,6.7,2,'virginica'
91,0.43858945,1,3.1,5.6,2.4,'virginica',-1,,1,4.7,1.6,,-1,-39.46,,24,-2.7,-20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.9,1.8,'virginica'
77,0.497946517,1,2.8,4.8,1.8,'virginica',-1,,1,4,1.3,,-1,-22.13,,25,2,-19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,5.7,2.1,'virginica'
89,0.513856614,1,3,4.8,1.8,'virginica',-1,,1,5.2,2.3,,-1,7.91,,25,2,-19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,6,1.8,'virginica'
55,0.540219006,1,3,5.8,2.2,'virginica',-1,,1,5.5,1.8,,-1,-8.99,,25,2,-19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4.8,1.8,'virginica'
84,0.564091003,1,2.8,5.1,1.5,'virginica',-1,,1,5.9,2.3,,-1,1.26,,24,-3.5,-21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.9,1.8,'virginica'
81,0.567429859,1,2.8,6.1,1.9,'virginica',-1,,1,5.1,2,,-1,-45.18,,24,-3.5,-21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,5.6,2.1,'virginica'
59,0.577527019,1,2.5,5.8,1.8,'virginica',-1,,1,3.3,1,,-1,-36.05,,24,-3.5,-21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.8,1.6,'virginica'
79,0.594527134,1,2.8,5.6,2.1,'virginica',-1,,1,3.7,1,,-1,-8.65,,25,-0.2,-20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,6.1,1.9,'virginica'
99,0.612348049,1,3.4,5.4,2.3,'virginica',-1,,1,4.9,1.5,,-1,4.16,,25,-0.2,-20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,6.4,2,'virginica'
67,0.618550205,1,3,5.5,1.8,'virginica',-1,,1,5.6,1.4,,-1,-6.13,,26,4.7,-18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,5.6,2.2,'virginica'
58,0.631837834,1,2.9,6.3,1.8,'virginica',-1,,1,5.6,2.2,,-1,26.28,,25,-0.9,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,5.1,1.5,'virginica'
100,0.663581861,1,3,5.1,1.8,'virginica',-1,,1,4.3,1.3,,-1,-24.04,,25,-0.9,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,5.6,1.4,'virginica'
93,0.693326764,1,2.7,5.1,1.9,'virginica',-1,,1,5.7,2.1,,-1,-4.87,,26,3.4,-18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6.1,2.3,'virginica'
73,0.698600683,1,2.8,6.7,2,'virginica',-1,,1,5.1,2.4,,-1,6.11,,25,-2.3,-20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,5.6,2.4,'virginica'
71,0.708573087,1,3.2,5.7,2.3,'virginica',-1,,1,4.6,1.3,,-1,-36.65,,25,-2.3,-20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,5.5,1.8,'virginica'
96,0.766912621,1,3,5.2,2.3,'virginica',-1,,1,4.5,1.3,,-1,-12.62,,26,2.3,-19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.8,1.8,'virginica'
88,0.795352188,1,3.1,5.5,1.8,'virginica',-1,,1,4,1.3,,-1,11,,26,2.3,-19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,5.4,2.1,'virginica'
94,0.799712982,1,3.2,5.9,2.3,'virginica',-1,,1,6.9,2.3,,-1,9.85,,26,2.3,-19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,5.6,2.4,'virginica'
61,0.803982968,1,3.2,5.1,2,'virginica',-1,,1,4.8,1.8,,-1,-2.98,,26,2.3,-19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,5.1,2.3,'virginica'
85,0.829381624,1,2.6,5.6,1.4,'virginica',-1,,1,5.3,1.9,,-1,1.94,,26,2.3,-19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,5.1,1.9,'virginica'
83,0.842264467,1,2.8,5.6,2.2,'virginica',-1,,1,4.2,1.5,,-1,1.14,,25,-3,-21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,5.9,2.3,'virginica'
75,0.870200785,1,3.3,5.7,2.1,'virginica',-1,,1,4.9,1.8,,-1,-19.7,,26,1.2,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,5.7,2.5,'virginica'
65,0.890453153,1,2.8,5.1,2.4,'virginica',-1,,1,3.9,1.1,,-1,-3.94,,26,1.2,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.2,2.3,'virginica'
69,0.941261211,1,2.6,6.9,2.3,'virginica',-1,,1,4.5,1.5,,-1,8.79,,26,1.2,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,5,1.9,'virginica'
62,0.94711708,1,2.7,5.3,1.9,'virginica',-1,,1,4.9,2,,-1,1.55,,26,1.2,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.2,2,'virginica'
74,0.960328187,1,2.7,4.9,1.8,'virginica',-1,,1,4.5,1.5,,-1,-7.92,,26,1.2,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,5.4,2.3,'virginica'
72,0.975953218,1,2.8,4.9,2,'virginica',-1,,1,4.7,1.4,,-1,1.55,,26,1.2,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.1,1.8,'virginica'
,,,,,,,,,,,,,,3.78,,26,1.2,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
